2021/09/14 02:20:58 Ip address: 192.168.8.103 ; Session id: 96bf4e2a-9799-4b35-a00d-75628e381844 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 02:22:56 Ip address: 192.168.8.103 ; Session id: 96bf4e2a-9799-4b35-a00d-75628e381844 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 02:25:05 Ip address: 192.168.8.103 ; Session id: 96bf4e2a-9799-4b35-a00d-75628e381844 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 02:27:39 Ip address: 192.168.8.103 ; Session id: 6620881a-1679-477c-a30d-341ede7e8aef ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 02:28:38 Ip address: 192.168.8.103 ; Session id: 6620881a-1679-477c-a30d-341ede7e8aef ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 02:29:52 Ip address: 192.168.8.103 ; Session id: 6620881a-1679-477c-a30d-341ede7e8aef ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 02:31:08 Ip address: 192.168.8.103 ; Session id: 6620881a-1679-477c-a30d-341ede7e8aef ; Url: http://www.tutorialspoint.com  ;  Domain; tutorialspoint.com 	
2021/09/14 09:28:36 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 09:44:31 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 11:53:25 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 11:59:40 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/14 12:01:35 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 12:04:18 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 12:06:01 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 12:09:46 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 12:11:35 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 12:14:28 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 13:19:43 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.tutorialspoint.com  ;  Domain; tutorialspoint.com 	
2021/09/14 13:25:25 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/14 13:28:04 Ip address: 192.168.20.240 ; Session id: ae651123-c6bb-4950-b35f-40f6d1776cb5 ; Url: http://www.tutorialspoint.com  ;  Domain; tutorialspoint.com 	
2021/09/15 12:46:35 Ip address: 46.1.69.210 ; Session id: d285668e-0b91-4bfc-bbca-11b060e15d53 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/15 12:52:36 Ip address: 46.1.69.210 ; Session id: d285668e-0b91-4bfc-bbca-11b060e15d53 ; Url: http://www.tutorialspoint.com  ;  Domain; tutorialspoint.com 	
2021/09/15 12:55:04 Ip address: 46.1.69.210 ; Session id: d285668e-0b91-4bfc-bbca-11b060e15d53 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/15 13:07:16 Ip address: 46.1.69.210 ; Session id: d285668e-0b91-4bfc-bbca-11b060e15d53 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/15 14:02:14 Ip address: 46.1.69.210 ; Session id: 24ee5bf1-2aa0-45b2-a01e-3af91320d7ef ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/15 14:03:28 Ip address: 46.1.69.210 ; Session id: 24ee5bf1-2aa0-45b2-a01e-3af91320d7ef ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/15 14:16:52 Ip address: 46.1.69.210 ; Session id: de3b113f-3042-4203-b349-e7672edd543c ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/15 14:24:24 Ip address: 46.1.69.210 ; Session id: 0d4c5db3-5282-430e-97fe-9d5194fbbec9 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/15 14:25:53 Ip address: 46.1.69.210 ; Session id: 78925895-61e0-4786-b385-5c2ff5c6cb81 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/15 14:32:39 Ip address: 46.1.69.210 ; Session id: 78925895-61e0-4786-b385-5c2ff5c6cb81 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/15 14:33:04 Ip address: 46.1.69.210 ; Session id: 78925895-61e0-4786-b385-5c2ff5c6cb81 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/15 14:36:29 Ip address: 46.1.69.210 ; Session id: 78925895-61e0-4786-b385-5c2ff5c6cb81 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
2021/09/15 14:36:44 Ip address: 46.1.69.210 ; Session id: 78925895-61e0-4786-b385-5c2ff5c6cb81 ; Url: http://www.tutorialspoint.com  ;  Domain; tutorialspoint.com 	
2021/09/15 14:38:14 Ip address: 46.1.69.210 ; Session id: fe0c6c70-4f4a-4c7e-a1e1-d448f7957e9c ; Url: http://blog.logrocket.com/creating-a-web-server-with-golang/  ;  Domain; logrocket.com 	
2021/09/15 14:39:10 Ip address: 46.1.69.210 ; Session id: fe0c6c70-4f4a-4c7e-a1e1-d448f7957e9c ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/15 15:49:40 Ip address: 46.1.69.210 ; Session id: fe0c6c70-4f4a-4c7e-a1e1-d448f7957e9c ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/16 14:23:16 Ip address: 46.1.69.210 ; Session id: 43d48e43-f42c-43db-a69c-0dbe3ca601b7 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/16 14:32:47 Ip address: 46.1.69.210 ; Session id: 43d48e43-f42c-43db-a69c-0dbe3ca601b7 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/16 14:34:17 Ip address: 46.1.69.210 ; Session id: 43d48e43-f42c-43db-a69c-0dbe3ca601b7 ; Url: http://www.devdungeon.com/content/web-scraping-go  ;  Domain; devdungeon.com 	
2021/09/16 14:44:25 Ip address: 46.1.69.210 ; Session id: 43d48e43-f42c-43db-a69c-0dbe3ca601b7 ; Url: http://www.usegolang.com  ;  Domain; usegolang.com 	
